Time, Soil 1, Soil 2, Soil 3, humidity, pressure, temperature 
2021-12-07 14:56:45.631113, 353, 276, 256, 71.02892421856295, 999.4725167125405, 15.258292537275702 
2021-12-07 15:56:56.766858, 364, 294, 274, 75.95597974712263, 999.7221029508979, 12.606696310848928 
2021-12-07 16:57:07.902898, 363, 312, 273, 85.12173235919542, 998.8095198040802, 10.996474469924578 
2021-12-07 17:57:19.038088, 352, 311, 276, 91.69570561087838, 998.8080049696541, 8.680244503548602 
2021-12-07 18:57:30.174227, 364, 306, 269, 89.50117778291741, 999.0787875909996, 9.31516994277481 
2021-12-07 19:57:41.277800, 367, 307, 278, 89.13036597887856, 999.1255542831367, 9.660571291507221 
2021-12-07 20:57:52.413925, 388, 302, 276, 93.5976475905918, 999.266482519348, 9.66565073314705 
2021-12-07 21:58:03.457789, 365, 312, 277, 93.26268604055552, 999.4149371269004, 9.558982519828714 
2021-12-07 22:58:14.547830, 380, 320, 298, 92.78779241165752, 999.8037365723342, 9.320249364624033 
2021-12-07 23:58:25.684030, 400, 324, 296, 91.567156773883, 1000.0154877196044, 9.569141391757876 
2021-12-08 00:58:36.820065, 386, 332, 296, 94.60940688730953, 999.9148199476176, 8.543101205886341 
2021-12-08 01:58:47.937805, 408, 336, 302, 90.89542523266726, 999.8123378209796, 9.076437444152543 
2021-12-08 02:58:59.040340, 402, 338, 306, 88.57973286364606, 1000.0343355682818, 9.132310950034299 
2021-12-08 03:59:10.176332, 402, 334, 307, 98.42366778528401, 1000.0866584601108, 8.136751939938403 
2021-12-08 04:59:21.312133, 400, 332, 325, 93.71395547363518, 1000.2667758472973, 7.98437144542113 
2021-12-08 05:59:32.367815, 392, 330, 305, 91.70186118980882, 1000.6576352579683, 7.3850107083329934 
2021-12-08 06:59:43.427804, 401, 341, 309, 92.43935411854662, 1000.9143122052794, 7.115807628311449 
2021-12-08 07:59:54.563788, 412, 344, 313, 91.46060519806966, 1001.1662367954673, 6.745019818842411 
2021-12-08 09:00:05.699883, 410, 363, 318, 84.80596210901973, 1001.1193227313115, 8.334846974402899 
2021-12-08 10:00:16.835618, 414, 347, 317, 78.27815653823374, 1001.6285921435541, 9.680889059812761 
2021-12-08 11:00:27.937788, 413, 356, 322, 79.65025257432501, 1001.8105101712539, 10.625670428667217 
2021-12-08 12:00:39.073530, 405, 345, 316, 78.36430306007367, 1001.8119010189198, 9.513267610553886 
2021-12-08 13:00:50.209393, 436, 350, 316, 88.92239311614111, 1001.8014575087888, 7.933578005456366 
2021-12-08 14:01:01.297786, 384, 340, 306, 77.50218771407012, 1001.4500150383022, 8.69040327477851 
2021-12-08 15:01:12.433484, 416, 349, 314, 76.06062734492319, 1001.3190477952473, 8.360243805707432 
2021-12-08 16:01:23.569454, 396, 349, 325, 78.5290339712446, 1001.7163516257527, 7.3850107083329934 
2021-12-08 17:01:34.705274, 408, 333, 330, 87.1379672064047, 1001.9392975812392, 6.287886298098601 
2021-12-17 13:11:36.357203, 357, 173, 167, 50.760806256646426, 1008.1812838270473, 13.769934699923033 
2021-12-17 13:12:52.470665, 344, 187, 160, 52.233811454870335, 1008.1711392982311, 13.480393586889841 
2021-12-17 13:14:08.572173, 367, 174, 160, 52.43395087006873, 1008.159117239657, 13.739456643495942 
2021-12-17 13:15:24.673481, 311, 179, 148, 49.06939697635816, 1008.2285056388844, 14.399816878518322 
2021-12-17 13:16:40.774712, 342, 179, 162, 45.67723772866969, 1008.19777811236, 15.51736078891554 
2021-12-17 13:58:37.596282, 287, 187, 176, 61.00384393730921, 1008.1657610110337, 10.72218092023977 
2021-12-17 13:59:53.708973, 288, 173, 178, 61.22233893250062, 1008.1564260198893, 11.047269664850319 
